#score	name1	strand1	size1	zstart1	end1	name2	strand2	size2	zstart2	end2	identity	idPct	coverage	covPct
43230	U00096.2	+	4639675	10162	10615	NODE_24_length_453_cov_1.806533	-	453	0	453	453/453	100.0%	453/453	100.0%
43482	U00096.2	+	4639675	68273	68726	NODE_25_length_453_cov_1.786432	+	453	0	453	453/453	100.0%	453/453	100.0%
43192	U00096.2	+	4639675	21931	22382	NODE_26_length_451_cov_1.661616	+	451	0	451	451/451	100.0%	451/451	100.0%
42138	U00096.2	+	4639675	40279	40720	NODE_27_length_441_cov_1.069948	+	441	0	441	441/441	100.0%	441/441	100.0%
3717	U00096.2	+	4639675	1775207	1775326	NODE_27_length_441_cov_1.069948	-	441	322	441	76/119	63.9%	119/441	27.0%
40478	U00096.2	+	4639675	11777	12205	NODE_28_length_428_cov_1.469169	+	428	0	428	428/428	100.0%	428/428	100.0%
40701	U00096.2	+	4639675	13748	14174	NODE_29_length_426_cov_1.191375	+	426	0	426	426/426	100.0%	426/426	100.0%
40045	U00096.2	+	4639675	33663	34081	NODE_30_length_418_cov_1.451791	-	418	0	418	418/418	100.0%	418/418	100.0%
40054	U00096.2	+	4639675	75967	76385	NODE_31_length_418_cov_1.104683	-	418	0	418	418/418	100.0%	418/418	100.0%
39072	U00096.2	+	4639675	21517	21925	NODE_32_length_408_cov_1.747875	+	408	0	408	408/408	100.0%	408/408	100.0%
38936	U00096.2	+	4639675	83290	83697	NODE_33_length_407_cov_1.346591	+	407	0	407	407/407	100.0%	407/407	100.0%
38864	U00096.2	+	4639675	28543	28950	NODE_34_length_407_cov_0.920455	-	407	0	407	407/407	100.0%	407/407	100.0%
38535	U00096.2	+	4639675	23870	24272	NODE_35_length_402_cov_1.270893	-	402	0	402	402/402	100.0%	402/402	100.0%
38252	U00096.2	+	4639675	32280	32678	NODE_36_length_398_cov_0.909621	+	398	0	398	398/398	100.0%	398/398	100.0%
37314	U00096.2	+	4639675	48126	48513	NODE_37_length_387_cov_1.222892	+	387	0	387	387/387	100.0%	387/387	100.0%
8526	U00096.2	+	4639675	3477890	3478263	NODE_37_length_387_cov_1.222892	-	387	0	382	233/340	68.5%	382/387	98.7%
36421	U00096.2	+	4639675	84147	84532	NODE_38_length_385_cov_1.087879	+	385	0	385	385/385	100.0%	385/385	100.0%
36797	U00096.2	+	4639675	9531	9914	NODE_39_length_383_cov_1.085366	-	383	0	383	383/383	100.0%	383/383	100.0%
36198	U00096.2	+	4639675	26056	26434	NODE_40_length_378_cov_1.030960	+	378	0	378	378/378	100.0%	378/378	100.0%
35726	U00096.2	+	4639675	12482	12856	NODE_41_length_374_cov_1.329154	+	374	0	374	374/374	100.0%	374/374	100.0%
10416	U00096.2	+	4639675	2656236	2656582	NODE_41_length_374_cov_1.329154	-	374	0	361	236/343	68.8%	361/374	96.5%
35616	U00096.2	+	4639675	479	851	NODE_42_length_372_cov_1.258675	+	372	0	372	372/372	100.0%	372/372	100.0%
35562	U00096.2	+	4639675	29697	30069	NODE_43_length_372_cov_1.129338	-	372	0	372	372/372	100.0%	372/372	100.0%
35625	U00096.2	+	4639675	50965	51337	NODE_44_length_372_cov_1.097792	-	372	0	372	372/372	100.0%	372/372	100.0%
35138	U00096.2	+	4639675	35963	36334	NODE_45_length_371_cov_1.544304	+	371	0	371	371/371	100.0%	371/371	100.0%
35558	U00096.2	+	4639675	73430	73798	NODE_46_length_368_cov_0.814696	+	368	0	368	368/368	100.0%	368/368	100.0%
35043	U00096.2	+	4639675	13162	13528	NODE_47_length_366_cov_1.909968	+	366	0	366	366/366	100.0%	366/366	100.0%
10405	U00096.2	+	4639675	2655619	2655955	NODE_47_length_366_cov_1.909968	-	366	21	349	206/328	62.8%	328/366	89.6%
34652	U00096.2	+	4639675	25549	25911	NODE_48_length_362_cov_1.078176	+	362	0	362	362/362	100.0%	362/362	100.0%
5189	U00096.2	+	4639675	3201161	3201249	NODE_48_length_362_cov_1.078176	-	362	112	202	73/88	83.0%	90/362	24.9%
6198	U00096.2	+	4639675	3672403	3672496	NODE_48_length_362_cov_1.078176	-	362	116	202	77/86	89.5%	86/362	23.8%
6536	U00096.2	+	4639675	3982240	3982350	NODE_48_length_362_cov_1.078176	-	362	114	206	85/92	92.4%	92/362	25.4%
34560	U00096.2	+	4639675	94296	94656	NODE_49_length_360_cov_1.124590	+	360	0	360	360/360	100.0%	360/360	100.0%
34172	U00096.2	+	4639675	34296	34655	NODE_50_length_359_cov_1.174342	-	359	0	359	359/359	100.0%	359/359	100.0%
34352	U00096.2	+	4639675	92232	92591	NODE_51_length_359_cov_0.960526	+	359	0	359	359/359	100.0%	359/359	100.0%
33799	U00096.2	+	4639675	69907	70262	NODE_52_length_355_cov_1.330000	-	355	0	355	355/355	100.0%	355/355	100.0%
34159	U00096.2	+	4639675	23093	23448	NODE_53_length_355_cov_1.223333	+	355	0	355	355/355	100.0%	355/355	100.0%
33646	U00096.2	+	4639675	58650	59005	NODE_54_length_355_cov_1.200000	+	355	0	355	355/355	100.0%	355/355	100.0%
33561	U00096.2	+	4639675	75069	75420	NODE_55_length_351_cov_1.331081	-	351	0	351	351/351	100.0%	351/351	100.0%
33471	U00096.2	+	4639675	42335	42686	NODE_56_length_351_cov_1.064189	+	351	0	351	351/351	100.0%	351/351	100.0%
33449	U00096.2	+	4639675	79501	79848	NODE_57_length_347_cov_1.304795	-	347	0	347	347/347	100.0%	347/347	100.0%
33062	U00096.2	+	4639675	9077	9424	NODE_58_length_347_cov_0.996575	-	347	0	347	347/347	100.0%	347/347	100.0%
7716	U00096.2	+	4639675	3850318	3850648	NODE_59_length_343_cov_1.381944	+	343	0	330	201/324	62.0%	330/343	96.2%
32950	U00096.2	+	4639675	85748	86091	NODE_59_length_343_cov_1.381944	-	343	0	343	343/343	100.0%	343/343	100.0%
32795	U00096.2	+	4639675	3217	3558	NODE_60_length_341_cov_1.716783	+	341	0	341	341/341	100.0%	341/341	100.0%
32444	U00096.2	+	4639675	59005	59346	NODE_61_length_341_cov_1.178322	+	341	0	341	341/341	100.0%	341/341	100.0%
31981	U00096.2	+	4639675	58112	58449	NODE_62_length_337_cov_1.429078	+	337	0	337	337/337	100.0%	337/337	100.0%
32305	U00096.2	+	4639675	996	1333	NODE_63_length_337_cov_0.751773	+	337	0	337	337/337	100.0%	337/337	100.0%
31925	U00096.2	+	4639675	54556	54891	NODE_64_length_335_cov_1.807143	-	335	0	335	335/335	100.0%	335/335	100.0%
31979	U00096.2	+	4639675	77597	77932	NODE_65_length_335_cov_1.260714	+	335	0	335	335/335	100.0%	335/335	100.0%
31378	U00096.2	+	4639675	80553	80881	NODE_66_length_328_cov_1.128205	+	328	0	328	328/328	100.0%	328/328	100.0%
31269	U00096.2	+	4639675	144	471	NODE_67_length_327_cov_1.705882	-	327	0	327	327/327	100.0%	327/327	100.0%
31251	U00096.2	+	4639675	82494	82821	NODE_68_length_327_cov_0.797794	-	327	0	327	327/327	100.0%	327/327	100.0%
29603	U00096.2	+	4639675	96581	96889	NODE_69_length_308_cov_1.478261	+	308	0	308	308/308	100.0%	308/308	100.0%
29126	U00096.2	+	4639675	84701	85009	NODE_70_length_308_cov_1.245059	+	308	0	308	308/308	100.0%	308/308	100.0%
29276	U00096.2	+	4639675	82915	83220	NODE_71_length_305_cov_1.436000	+	305	0	305	305/305	100.0%	305/305	100.0%
29067	U00096.2	+	4639675	93841	94144	NODE_72_length_303_cov_0.927419	+	303	0	303	303/303	100.0%	303/303	100.0%
28976	U00096.2	+	4639675	81813	82115	NODE_73_length_302_cov_0.923077	-	302	0	302	302/302	100.0%	302/302	100.0%
28749	U00096.2	+	4639675	49286	49586	NODE_74_length_300_cov_0.918367	+	300	0	300	300/300	100.0%	300/300	100.0%
28783	U00096.2	+	4639675	74219	74517	NODE_75_length_298_cov_1.065844	-	298	0	298	298/298	100.0%	298/298	100.0%
28323	U00096.2	+	4639675	70257	70554	NODE_76_length_297_cov_1.409091	-	297	0	297	297/297	100.0%	297/297	100.0%
28277	U00096.2	+	4639675	97494	97790	NODE_77_length_296_cov_1.589212	+	296	0	296	296/296	100.0%	296/296	100.0%
27968	U00096.2	+	4639675	28079	28372	NODE_78_length_293_cov_1.168067	-	293	0	293	293/293	100.0%	293/293	100.0%
27958	U00096.2	+	4639675	46026	46318	NODE_79_length_292_cov_1.025316	+	292	0	292	292/292	100.0%	292/292	100.0%
27722	U00096.2	+	4639675	30587	30877	NODE_80_length_290_cov_1.034043	+	290	0	290	290/290	100.0%	290/290	100.0%
27577	U00096.2	+	4639675	78666	78955	NODE_81_length_289_cov_0.961538	-	289	0	289	289/289	100.0%	289/289	100.0%
27856	U00096.2	+	4639675	68722	69011	NODE_82_length_289_cov_0.914530	-	289	0	289	289/289	100.0%	289/289	100.0%
27575	U00096.2	+	4639675	32994	33281	NODE_83_length_287_cov_1.112069	+	287	0	287	287/287	100.0%	287/287	100.0%
27267	U00096.2	+	4639675	17874	18159	NODE_84_length_285_cov_1.700000	-	285	0	285	285/285	100.0%	285/285	100.0%
27293	U00096.2	+	4639675	50381	50665	NODE_85_length_284_cov_0.960699	-	284	0	284	284/284	100.0%	284/284	100.0%
27122	U00096.2	+	4639675	91307	91591	NODE_86_length_284_cov_0.947598	+	284	0	284	284/284	100.0%	284/284	100.0%
26839	U00096.2	+	4639675	44348	44628	NODE_87_length_280_cov_0.817778	+	280	0	280	280/280	100.0%	280/280	100.0%
26739	U00096.2	+	4639675	41386	41665	NODE_88_length_279_cov_0.950893	+	279	0	279	279/279	100.0%	279/279	100.0%
26494	U00096.2	+	4639675	86536	86813	NODE_89_length_277_cov_1.216216	+	277	0	277	277/277	100.0%	277/277	100.0%
6515	U00096.2	+	4639675	698641	698727	NODE_90_length_276_cov_2.361991	+	276	190	276	76/86	88.4%	86/276	31.2%
26214	U00096.2	+	4639675	5589	5865	NODE_90_length_276_cov_2.361991	-	276	0	276	276/276	100.0%	276/276	100.0%
26177	U00096.2	+	4639675	46967	47242	NODE_91_length_275_cov_1.609091	+	275	0	275	275/275	100.0%	275/275	100.0%
26012	U00096.2	+	4639675	38692	38964	NODE_92_length_272_cov_1.023041	+	272	0	272	272/272	100.0%	272/272	100.0%
25921	U00096.2	+	4639675	1569	1840	NODE_93_length_271_cov_0.833333	-	271	0	271	271/271	100.0%	271/271	100.0%
25894	U00096.2	+	4639675	2108	2379	NODE_94_length_271_cov_0.652778	+	271	0	271	271/271	100.0%	271/271	100.0%
25421	U00096.2	+	4639675	89997	90263	NODE_95_length_266_cov_1.488152	-	266	0	266	266/266	100.0%	266/266	100.0%
25484	U00096.2	+	4639675	36834	37100	NODE_96_length_266_cov_1.236967	+	266	0	266	266/266	100.0%	266/266	100.0%
25302	U00096.2	+	4639675	41138	41402	NODE_97_length_264_cov_2.234450	+	264	0	264	264/264	100.0%	264/264	100.0%
25310	U00096.2	+	4639675	31039	31302	NODE_98_length_263_cov_0.918269	+	263	0	263	263/263	100.0%	263/263	100.0%
25102	U00096.2	+	4639675	75719	75981	NODE_99_length_262_cov_1.642512	+	262	0	262	262/262	100.0%	262/262	100.0%
25093	U00096.2	+	4639675	42763	43025	NODE_100_length_262_cov_0.816425	+	262	0	262	262/262	100.0%	262/262	100.0%
25038	U00096.2	+	4639675	31578	31839	NODE_101_length_261_cov_1.466019	-	261	0	261	261/261	100.0%	261/261	100.0%
24802	U00096.2	+	4639675	2792	3051	NODE_102_length_259_cov_1.382353	-	259	0	259	259/259	100.0%	259/259	100.0%
24665	U00096.2	+	4639675	76387	76644	NODE_103_length_257_cov_1.113861	+	257	0	257	257/257	100.0%	257/257	100.0%
23911	U00096.2	+	4639675	2417	2667	NODE_104_length_250_cov_0.805128	-	250	0	250	250/250	100.0%	250/250	100.0%
23756	U00096.2	+	4639675	7169	7417	NODE_105_length_248_cov_1.362694	-	248	0	248	248/248	100.0%	248/248	100.0%
23519	U00096.2	+	4639675	3560	3805	NODE_106_length_245_cov_0.815789	-	245	0	245	245/245	100.0%	245/245	100.0%
23094	U00096.2	+	4639675	49638	49881	NODE_107_length_243_cov_1.170213	+	243	0	243	243/243	100.0%	243/243	100.0%
23120	U00096.2	+	4639675	86103	86345	NODE_108_length_242_cov_1.053476	+	242	0	242	242/242	100.0%	242/242	100.0%
23092	U00096.2	+	4639675	60501	60742	NODE_109_length_241_cov_0.903226	+	241	0	241	241/241	100.0%	241/241	100.0%
22838	U00096.2	+	4639675	54237	54476	NODE_110_length_239_cov_0.951087	-	239	0	239	239/239	100.0%	239/239	100.0%
22438	U00096.2	+	4639675	13517	13752	NODE_111_length_235_cov_1.216667	-	235	0	235	235/235	100.0%	235/235	100.0%
22510	U00096.2	+	4639675	34837	35072	NODE_112_length_235_cov_0.905556	+	235	0	235	235/235	100.0%	235/235	100.0%
22173	U00096.2	+	4639675	67081	67312	NODE_113_length_231_cov_2.125000	-	231	0	231	231/231	100.0%	231/231	100.0%
21892	U00096.2	+	4639675	46476	46705	NODE_114_length_229_cov_1.183908	+	229	0	229	229/229	100.0%	229/229	100.0%
21900	U00096.2	+	4639675	22790	23018	NODE_115_length_228_cov_1.011561	+	228	0	228	228/228	100.0%	228/228	100.0%
21602	U00096.2	+	4639675	59342	59569	NODE_116_length_227_cov_1.197674	+	227	0	227	227/227	100.0%	227/227	100.0%
21365	U00096.2	+	4639675	95940	96164	NODE_117_length_224_cov_1.331361	+	224	0	224	224/224	100.0%	224/224	100.0%
21464	U00096.2	+	4639675	43820	44044	NODE_118_length_224_cov_1.260355	+	224	0	224	224/224	100.0%	224/224	100.0%
21563	U00096.2	+	4639675	95416	95640	NODE_119_length_224_cov_1.201183	-	224	0	224	224/224	100.0%	224/224	100.0%
21136	U00096.2	+	4639675	64208	64428	NODE_120_length_220_cov_0.884848	-	220	0	220	220/220	100.0%	220/220	100.0%
20910	U00096.2	+	4639675	6754	6973	NODE_121_length_219_cov_0.823171	-	219	0	219	219/219	100.0%	219/219	100.0%
20900	U00096.2	+	4639675	95703	95921	NODE_122_length_218_cov_1.006135	-	218	0	218	218/218	100.0%	218/218	100.0%
20564	U00096.2	+	4639675	38191	38406	NODE_123_length_215_cov_0.812500	+	215	0	215	215/215	100.0%	215/215	100.0%
20344	U00096.2	+	4639675	65541	65752	NODE_124_length_211_cov_1.019231	-	211	0	211	211/211	100.0%	211/211	100.0%
20263	U00096.2	+	4639675	81024	81235	NODE_125_length_211_cov_0.865385	+	211	0	211	211/211	100.0%	211/211	100.0%
20163	U00096.2	+	4639675	71844	72054	NODE_126_length_210_cov_0.909677	+	210	0	210	210/210	100.0%	210/210	100.0%
20036	U00096.2	+	4639675	60724	60933	NODE_127_length_209_cov_0.870130	+	209	0	209	209/209	100.0%	209/209	100.0%
19854	U00096.2	+	4639675	90810	91017	NODE_128_length_207_cov_0.592105	-	207	0	207	207/207	100.0%	207/207	100.0%
